%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900914096010861,583,1491900914093993621,,0.0,0.0
1491900914117081697,584,1491900914113415447,,0.0,0.0
1491900914135401335,585,1491900914133425918,,0.0,0.0
1491900914155488786,586,1491900914153413213,,0.0,0.0
1491900914175204779,587,1491900914173415508,,0.0,0.0
1491900914195255875,588,1491900914193574000,,0.0,0.0
1491900914215104316,589,1491900914213409159,,0.0,0.0
1491900914235544006,590,1491900914233410620,,0.0,0.0
1491900914255150624,591,1491900914253405988,,0.0,0.0
1491900914275124429,592,1491900914273395418,,0.0,0.0
1491900914295285317,593,1491900914293588442,,0.0,0.0
1491900914315181987,594,1491900914313432403,,0.0,0.0
1491900914335872146,595,1491900914333509125,,0.0,0.0
1491900914355384232,596,1491900914353649440,,0.0,0.0
1491900914375296839,597,1491900914373557099,,0.0,0.0
1491900914396093144,598,1491900914394240436,,0.0,0.0
1491900914415993720,599,1491900914414498772,,0.0,0.0
1491900914436256587,600,1491900914433670129,,0.0,0.0
1491900914455512215,601,1491900914453673673,,0.0,0.0
1491900914475545760,602,1491900914473683312,,0.0,0.0
1491900914497012378,603,1491900914493739356,,0.0,0.0
1491900914515025609,604,1491900914513539620,,0.0,0.0
1491900914536904831,605,1491900914533600977,,0.0,0.0
1491900914555496032,606,1491900914553529886,,0.0,0.0
1491900914575327493,607,1491900914573686035,,0.0,0.0
1491900914595308902,608,1491900914593574787,,0.0,0.0
1491900914615153436,609,1491900914613474113,,0.0,0.0
1491900914635077710,610,1491900914633404533,,0.0,0.0
1491900914658400162,611,1491900914653777765,,0.0,0.0
1491900914675330997,612,1491900914673718549,,0.0,0.0
1491900914695218396,613,1491900914693552406,,0.0,0.0
1491900914714608920,614,1491900914713459701,,0.0,0.0
1491900914735173454,615,1491900914733482829,,0.0,0.0
1491900914755106582,616,1491900914753425071,,0.0,0.0
1491900914774884293,617,1491900914773494866,,0.0,0.0
1491900914795451640,618,1491900914793826171,,0.0,0.0
1491900914816201278,619,1491900914814136903,,0.0,0.0
1491900914835368260,620,1491900914833503989,,0.0,0.0
1491900914854875346,621,1491900914853455919,,0.0,0.0
1491900914875117016,622,1491900914873416078,,0.0,0.0
1491900914895130144,623,1491900914893426862,,0.0,0.0
1491900914915179626,624,1491900914913426397,,0.0,0.0
1491900914935642337,625,1491900914933404629,,0.0,0.0
1491900914954963903,626,1491900914953546611,,0.0,0.0
1491900914975983958,627,1491900914973779791,,0.0,0.0
1491900914995377971,628,1491900914993549794,,0.0,0.0
1491900915015467297,629,1491900915013597088,,0.0,0.0
1491900915035243550,630,1491900915033565789,,0.0,0.0
1491900915055689699,631,1491900915053933552,,0.0,0.0
1491900915074999233,632,1491900915073593295,,0.0,0.0
1491900915095515694,633,1491900915093482204,,0.0,0.0
1491900915115416686,634,1491900915113449811,,0.0,0.0
1491900915134962835,635,1491900915133536116,,0.0,0.0
1491900915155026640,636,1491900915153622994,,0.0,0.0
1491900915174961591,637,1491900915173583726,,0.0,0.0
1491900915196092792,638,1491900915194455135,,0.0,0.0
1491900915216692899,639,1491900915214798940,,0.0,0.0
1491900915239177746,640,1491900915235532121,,0.0,0.0
1491900915260936135,641,1491900915258438582,,0.0,0.0
1491900915275673481,642,1491900915273882178,,0.0,0.0
1491900915298208380,643,1491900915293824421,,0.0,0.0
1491900915319825935,644,1491900915316980257,,0.0,0.0
1491900915337369271,645,1491900915333441458,,0.0,0.0
1491900915356135315,646,1491900915353755679,,0.0,0.0
1491900915376120839,647,1491900915373406568,,0.0,0.0
