%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900034055975004,581,1491900034053988129,,0.0,0.0
1491900034075846569,582,1491900034073968652,,0.0,0.0
1491900034095925635,583,1491900034093963707,,0.0,0.0
1491900034115816315,584,1491900034113966523,,0.0,0.0
1491900034135797411,585,1491900034133968140,,0.0,0.0
1491900034156198612,586,1491900034154005174,,0.0,0.0
1491900034176338094,587,1491900034174035021,,0.0,0.0
1491900034195300858,588,1491900034194034659,,0.0,0.0
1491900034216574038,589,1491900034214010600,,0.0,0.0
1491900034236178207,590,1491900034234280082,,0.0,0.0
1491900034256707429,591,1491900034254678366,,0.0,0.0
1491900034276838942,592,1491900034274018109,,0.0,0.0
1491900034296989622,593,1491900034293948580,,0.0,0.0
1491900034315756500,594,1491900034314020875,,0.0,0.0
1491900034335649211,595,1491900034333937336,,0.0,0.0
1491900034355739943,596,1491900034353967027,,0.0,0.0
1491900034375354061,597,1491900034373968644,,0.0,0.0
1491900034395538699,598,1491900034393950105,,0.0,0.0
1491900034415833286,599,1491900034413964639,,0.0,0.0
1491900034436386570,600,1491900034434102507,,0.0,0.0
1491900034455769281,601,1491900034454010114,,0.0,0.0
1491900034475622096,602,1491900034473967513,,0.0,0.0
1491900034496023870,603,1491900034493977828,,0.0,0.0
1491900034516214186,604,1491900034514010800,,0.0,0.0
1491900034535633407,605,1491900034533985803,,0.0,0.0
1491900034556565806,606,1491900034553988566,,0.0,0.0
1491900034576402059,607,1491900034573977684,,0.0,0.0
1491900034596287947,608,1491900034594069666,,0.0,0.0
1491900034617567690,609,1491900034614049044,,0.0,0.0
1491900034637031651,610,1491900034634274151,,0.0,0.0
1491900034656232696,611,1491900034654251185,,0.0,0.0
1491900034676875199,612,1491900034674252542,,0.0,0.0
1491900034696680670,613,1491900034694095514,,0.0,0.0
1491900034716050465,614,1491900034714112079,,0.0,0.0
1491900034736058905,615,1491900034734115415,,0.0,0.0
1491900034756094845,616,1491900034754104272,,0.0,0.0
1491900034776937817,617,1491900034774170317,,0.0,0.0
1491900034795855372,618,1491900034794204382,,0.0,0.0
1491900034816296521,619,1491900034814199073,,0.0,0.0
1491900034835854649,620,1491900034834141888,,0.0,0.0
1491900034855580068,621,1491900034854155954,,0.0,0.0
1491900034875516425,622,1491900034874150748,,0.0,0.0
1491900034895702678,623,1491900034894139189,,0.0,0.0
1491900034915870910,624,1491900034914254712,,0.0,0.0
1491900034935999195,625,1491900034934437944,,0.0,0.0
1491900034960863573,626,1491900034954422947,,0.0,0.0
1491900034976998159,627,1491900034974553106,,0.0,0.0
1491900034996537797,628,1491900034994918734,,0.0,0.0
1491900035015949310,629,1491900035014627800,,0.0,0.0
1491900035036068949,630,1491900035034316396,,0.0,0.0
1491900035057131139,631,1491900035054909160,,0.0,0.0
1491900035078185101,632,1491900035076436455,,0.0,0.0
1491900035095933645,633,1491900035094279582,,0.0,0.0
1491900035115970262,634,1491900035114314429,,0.0,0.0
1491900035135947453,635,1491900035134317348,,0.0,0.0
1491900035156037456,636,1491900035154328497,,0.0,0.0
1491900035175896782,637,1491900035174247406,,0.0,0.0
1491900035195723712,638,1491900035193986576,,0.0,0.0
1491900035215497881,639,1491900035213998454,,0.0,0.0
1491900035235345228,640,1491900035234026634,,0.0,0.0
1491900035256074345,641,1491900035253994449,,0.0,0.0
1491900035275798359,642,1491900035273987369,,0.0,0.0
1491900035295989247,643,1491900035294402788,,0.0,0.0
1491900035315845396,644,1491900035313971645,,0.0,0.0
1491900035335961180,645,1491900035334295607,,0.0,0.0
1491900035356691183,646,1491900035354486756,,0.0,0.0
1491900035376635457,647,1491900035375044467,,0.0,0.0
1491900035395887022,648,1491900035393982907,,0.0,0.0
1491900035417606661,649,1491900035414954004,,0.0,0.0
1491900035436678434,650,1491900035434755882,,0.0,0.0
1491900035456422135,651,1491900035454512031,,0.0,0.0
1491900035476143648,652,1491900035473974325,,0.0,0.0
1491900035495848703,653,1491900035493964172,,0.0,0.0
1491900035515778967,654,1491900035513953185,,0.0,0.0
1491900035536034386,655,1491900035533996105,,0.0,0.0
1491900035556018295,656,1491900035554034337,,0.0,0.0
1491900035577481215,657,1491900035574138246,,0.0,0.0
1491900035596237468,658,1491900035594358561,,0.0,0.0
1491900035616209242,659,1491900035614421481,,0.0,0.0
1491900035636103619,660,1491900035634523098,,0.0,0.0
