%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900230891222520,569,1491900230889201999,,0.0,0.0
1491900230911572784,570,1491900230909114554,,0.0,0.0
1491900230930236172,571,1491900230929134557,,0.0,0.0
1491900230950543102,572,1491900230949251018,,0.0,0.0
1491900230970701594,573,1491900230969237584,,0.0,0.0
1491900230990859931,574,1491900230989278420,,0.0,0.0
1491900231010616392,575,1491900231009112798,,0.0,0.0
1491900231030678322,576,1491900231029126707,,0.0,0.0
1491900231050751398,577,1491900231049185304,,0.0,0.0
1491900231070753848,578,1491900231069145307,,0.0,0.0
1491900231090747914,579,1491900231089210570,,0.0,0.0
1491900231111107448,580,1491900231109139739,,0.0,0.0
1491900231130741774,581,1491900231129156044,,0.0,0.0
1491900231150854693,582,1491900231149275943,,0.0,0.0
1491900231171913186,583,1491900231169202769,,0.0,0.0
1491900231192048449,584,1491900231189115532,,0.0,0.0
1491900231211051942,585,1491900231209112879,,0.0,0.0
1491900231231111059,586,1491900231229057465,,0.0,0.0
1491900231250798875,587,1491900231249119343,,0.0,0.0
1491900231271174919,588,1491900231269119867,,0.0,0.0
1491900231291085964,589,1491900231289130703,,0.0,0.0
1491900231311288883,590,1491900231309103310,,0.0,0.0
1491900231330989147,591,1491900231329185969,,0.0,0.0
1491900231351259618,592,1491900231349093524,,0.0,0.0
1491900231371291705,593,1491900231369111027,,0.0,0.0
1491900231391330718,594,1491900231389094728,,0.0,0.0
1491900231411219836,595,1491900231409113325,,0.0,0.0
1491900231431879005,596,1491900231429129265,,0.0,0.0
1491900231451374737,597,1491900231449146456,,0.0,0.0
1491900231471537917,598,1491900231469204844,,0.0,0.0
1491900231492560889,599,1491900231489309274,,0.0,0.0
1491900231511602142,600,1491900231509202454,,0.0,0.0
1491900231533537614,601,1491900231530748863,,0.0,0.0
1491900231553523137,602,1491900231549168866,,0.0,0.0
1491900231571086109,603,1491900231569127202,,0.0,0.0
1491900231595981217,604,1491900231589104809,,0.0,0.0
1491900231611427000,605,1491900231609110125,,0.0,0.0
1491900231631250961,606,1491900231629114294,,0.0,0.0
1491900231650407266,607,1491900231649095131,,0.0,0.0
1491900231671154144,608,1491900231669112998,,0.0,0.0
1491900231691199928,609,1491900231689127011,,0.0,0.0
1491900231711075817,610,1491900231709112691,,0.0,0.0
1491900231730592226,611,1491900231729206653,,0.0,0.0
1491900231750629364,612,1491900231749225510,,0.0,0.0
1491900231770659732,613,1491900231769298221,,0.0,0.0
1491900231790679110,614,1491900231789266193,,0.0,0.0
1491900231810952342,615,1491900231809588123,,0.0,0.0
1491900231830749220,616,1491900231829401459,,0.0,0.0
1491900231856290004,617,1491900231852577035,,0.0,0.0
1491900231871914955,618,1491900231870214642,,0.0,0.0
1491900231892951572,619,1491900231889787822,,0.0,0.0
1491900231912057408,620,1491900231909445116,,0.0,0.0
1491900231931641526,621,1491900231929551161,,0.0,0.0
1491900231951775591,622,1491900231949325539,,0.0,0.0
1491900231970695750,623,1491900231969391063,,0.0,0.0
1491900231991871691,624,1491900231989460441,,0.0,0.0
1491900232010852215,625,1491900232009380860,,0.0,0.0
1491900232034602687,626,1491900232029114092,,0.0,0.0
1491900232050656127,627,1491900232049345814,,0.0,0.0
1491900232071332171,628,1491900232069207744,,0.0,0.0
1491900232091095612,629,1491900232089461236,,0.0,0.0
1491900232110739781,630,1491900232109103166,,0.0,0.0
1491900232131166086,631,1491900232129199575,,0.0,0.0
1491900232150941245,632,1491900232149109005,,0.0,0.0
1491900232170922394,633,1491900232169073279,,0.0,0.0
1491900232191117293,634,1491900232189180574,,0.0,0.0
1491900232210906514,635,1491900232209114327,,0.0,0.0
1491900232230991934,636,1491900232229113913,,0.0,0.0
1491900232250944124,637,1491900232249117249,,0.0,0.0
1491900232271087252,638,1491900232269232304,,0.0,0.0
1491900232291245120,639,1491900232289224443,,0.0,0.0
1491900232310944967,640,1491900232309174185,,0.0,0.0
1491900232330945855,641,1491900232329104292,,0.0,0.0
1491900232352208306,642,1491900232349168930,,0.0,0.0
1491900232371629507,643,1491900232369295131,,0.0,0.0
1491900232392436697,644,1491900232389735655,,0.0,0.0
1491900232412816231,645,1491900232409190866,,0.0,0.0
1491900232432888266,646,1491900232429080452,,0.0,0.0
1491900232452087904,647,1491900232449085195,,0.0,0.0
1491900232470964886,648,1491900232469084156,,0.0,0.0
1491900232490972545,649,1491900232489103534,,0.0,0.0
1491900232510952339,650,1491900232509100881,,0.0,0.0
1491900232530926613,651,1491900232529121405,,0.0,0.0
1491900232550875783,652,1491900232549084428,,0.0,0.0
1491900232570875056,653,1491900232569090785,,0.0,0.0
1491900232591033549,654,1491900232589101153,,0.0,0.0
1491900232610934229,655,1491900232609115895,,0.0,0.0
1491900232630879076,656,1491900232629078034,,0.0,0.0
1491900232651296162,657,1491900232649091995,,0.0,0.0
1491900232671052050,658,1491900232669146529,,0.0,0.0
1491900232690926532,659,1491900232689087417,,0.0,0.0
1491900232711052004,660,1491900232709160389,,0.0,0.0
1491900232731127267,661,1491900232729109819,,0.0,0.0
1491900232751109249,662,1491900232749136749,,0.0,0.0
1491900232771631961,663,1491900232769473575,,0.0,0.0
1491900232792400401,664,1491900232790213057,,0.0,0.0
1491900232812180456,665,1491900232809099258,,0.0,0.0
1491900232832195095,666,1491900232829096969,,0.0,0.0
1491900232851053587,667,1491900232849100878,,0.0,0.0
1491900232871123902,668,1491900232869215673,,0.0,0.0
1491900232891349582,669,1491900232889225311,,0.0,0.0
1491900232911325991,670,1491900232909085783,,0.0,0.0
1491900232930583755,671,1491900232929223182,,0.0,0.0
1491900232950590164,672,1491900232949200007,,0.0,0.0
1491900232970807927,673,1491900232969446729,,0.0,0.0
1491900232990915847,674,1491900232989450690,,0.0,0.0
1491900233010937100,675,1491900233009517568,,0.0,0.0
1491900233030906530,676,1491900233029455279,,0.0,0.0
1491900233050853043,677,1491900233049464449,,0.0,0.0
1491900233070863879,678,1491900233069456796,,0.0,0.0
1491900233090923934,679,1491900233089473101,,0.0,0.0
1491900233110910135,680,1491900233109395708,,0.0,0.0
1491900233130899982,681,1491900233129496492,,0.0,0.0
1491900233150845610,682,1491900233149503162,,0.0,0.0
1491900233171358217,683,1491900233169902435,,0.0,0.0
1491900233191395928,684,1491900233189692959,,0.0,0.0
1491900233211660254,685,1491900233209943743,,0.0,0.0
1491900233231530309,686,1491900233229744423,,0.0,0.0
1491900233251964843,687,1491900233250086249,,0.0,0.0
