%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900166064655997,574,1491900166062025476,,0.0,0.0
1491900166084031729,575,1491900166082045531,,0.0,0.0
1491900166103890482,576,1491900166102052513,,0.0,0.0
1491900166124432829,577,1491900166122093245,,0.0,0.0
1491900166145026321,578,1491900166142048769,,0.0,0.0
1491900166165896116,579,1491900166162564970,,0.0,0.0
1491900166185597421,580,1491900166182865546,,0.0,0.0
1491900166204917216,581,1491900166202111121,,0.0,0.0
1491900166224093260,582,1491900166222114770,,0.0,0.0
1491900166246479097,583,1491900166242014721,,0.0,0.0
1491900166265715454,584,1491900166261995766,,0.0,0.0
1491900166283999258,585,1491900166281997383,,0.0,0.0
1491900166314922857,586,1491900166312685252,,0.0,0.0
1491900166324040358,587,1491900166322132493,,0.0,0.0
1491900166344691403,588,1491900166342153225,,0.0,0.0
1491900166363637968,589,1491900166362114322,,0.0,0.0
1491900166386000836,590,1491900166382150523,,0.0,0.0
1491900166404209953,591,1491900166402476411,,0.0,0.0
1491900166424303862,592,1491900166422509331,,0.0,0.0
1491900166444616105,593,1491900166442752875,,0.0,0.0
1491900166465006003,594,1491900166462799076,,0.0,0.0
1491900166484404860,595,1491900166482557829,,0.0,0.0
1491900166505996895,596,1491900166504177676,,0.0,0.0
1491900166524926012,597,1491900166523197991,,0.0,0.0
1491900166553460704,598,1491900166551291172,,0.0,0.0
1491900166567196227,599,1491900166565235497,,0.0,0.0
1491900166585361958,600,1491900166582195187,,0.0,0.0
1491900166604594826,601,1491900166602008159,,0.0,0.0
1491900166625496027,602,1491900166622066964,,0.0,0.0
1491900166645246863,603,1491900166642188008,,0.0,0.0
1491900166664981137,604,1491900166662169470,,0.0,0.0
1491900166684721140,605,1491900166682015827,,0.0,0.0
1491900166704074163,606,1491900166702146142,,0.0,0.0
1491900166724541197,607,1491900166722032499,,0.0,0.0
1491900166744516200,608,1491900166742085575,,0.0,0.0
1491900166765422922,609,1491900166762452193,,0.0,0.0
1491900166784754331,610,1491900166782703237,,0.0,0.0
1491900166804926001,611,1491900166802652980,,0.0,0.0
1491900166825236108,612,1491900166822159128,,0.0,0.0
1491900166845495330,613,1491900166842635746,,0.0,0.0
1491900166865579916,614,1491900166862185488,,0.0,0.0
1491900166887975596,615,1491900166884168981,,0.0,0.0
1491900166907128464,616,1491900166902127421,,0.0,0.0
1491900166926988258,617,1491900166922212268,,0.0,0.0
1491900166948117063,618,1491900166942752063,,0.0,0.0
1491900166964745868,619,1491900166962184305,,0.0,0.0
1491900166984984829,620,1491900166982106547,,0.0,0.0
1491900167004356863,621,1491900167002128165,,0.0,0.0
1491900167023916814,622,1491900167022131137,,0.0,0.0
1491900167045877598,623,1491900167042030567,,0.0,0.0
1491900167063872653,624,1491900167062103851,,0.0,0.0
1491900167083856875,625,1491900167082060885,,0.0,0.0
1491900167104129794,626,1491900167102073857,,0.0,0.0
1491900167123989537,627,1491900167122023964,,0.0,0.0
1491900167144220009,628,1491900167142101571,,0.0,0.0
1491900167163879491,629,1491900167161995480,,0.0,0.0
1491900167184287306,630,1491900167182172774,,0.0,0.0
1491900167204642622,631,1491900167201990121,,0.0,0.0
1491900167224866062,632,1491900167222177364,,0.0,0.0
1491900167245066117,633,1491900167242003252,,0.0,0.0
1491900167265387578,634,1491900167262112161,,0.0,0.0
1491900167284831279,635,1491900167282089560,,0.0,0.0
1491900167303751021,636,1491900167302094875,,0.0,0.0
1491900167327898369,637,1491900167322902639,,0.0,0.0
1491900167345070454,638,1491900167342764204,,0.0,0.0
1491900167364742489,639,1491900167362571863,,0.0,0.0
1491900167384303741,640,1491900167382243116,,0.0,0.0
1491900167404211296,641,1491900167402426244,,0.0,0.0
1491900167425568175,642,1491900167422218851,,0.0,0.0
1491900167447369063,643,1491900167442158594,,0.0,0.0
1491900167464888232,644,1491900167462241617,,0.0,0.0
1491900167484073496,645,1491900167482110943,,0.0,0.0
1491900167504436519,646,1491900167502134227,,0.0,0.0
