%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491899583987225040,536,1491899583858869032,,0.0,180.0
1491899583987308374,537,1491899583878677733,,0.0,180.0
1491899583987357488,538,1491899583898544038,,0.0,180.0
1491899583987409676,539,1491899583918335759,,0.0,180.0
1491899583987478895,540,1491899583938845398,,0.0,180.0
1491899583987514988,541,1491899583958313786,,0.0,180.0
1491899583987550561,542,1491899583978429987,,0.0,180.0
1491899584000542959,543,1491899583998571032,,0.0,180.0
1491899584019810618,544,1491899584018392076,,0.0,180.0
1491899584041242965,545,1491899584038758069,,0.0,180.0
1491899584061359270,546,1491899584058374530,,0.0,180.0
1491899584080836721,547,1491899584078268022,,0.0,180.0
1491899584100818807,548,1491899584098245577,,0.0,180.0
1491899584121195529,549,1491899584118263549,,0.0,180.0
1491899584140269542,550,1491899584138259437,,0.0,180.0
1491899584160600222,551,1491899584158271471,,0.0,180.0
1491899584180598089,552,1491899584178516110,,0.0,180.0
1491899584200839030,553,1491899584198386529,,0.0,180.0
1491899584220460074,554,1491899584218270230,,0.0,180.0
1491899584240660494,555,1491899584238265025,,0.0,180.0
1491899584260471226,556,1491899584258252476,,0.0,180.0
1491899584281081594,557,1491899584278362635,,0.0,180.0
1491899584300627378,558,1491899584298228992,,0.0,180.0
1491899584321125193,559,1491899584318652693,,0.0,180.0
1491899584341043477,560,1491899584338378633,,0.0,180.0
1491899584361666345,561,1491899584358522646,,0.0,180.0
1491899584381104421,562,1491899584378435618,,0.0,180.0
1491899584402241090,563,1491899584398420673,,0.0,180.0
1491899584422393124,564,1491899584418256874,,0.0,180.0
1491899584440745263,565,1491899584438262762,,0.0,180.0
1491899584460643495,566,1491899584458233286,,0.0,180.0
1491899584480749695,567,1491899584478269643,,0.0,180.0
1491899584501590324,568,1491899584498260636,,0.0,180.0
1491899584522526577,569,1491899584518416211,,0.0,180.0
1491899584541564600,570,1491899584538254079,,0.0,180.0
1491899584562069916,571,1491899584558537519,,0.0,180.0
1491899584581676325,572,1491899584578247053,,0.0,180.0
1491899584605520755,573,1491899584598453879,,0.0,180.0
1491899584621467737,574,1491899584618470341,,0.0,180.0
1491899584644899199,575,1491899584638251854,,0.0,180.0
1491899584663493628,576,1491899584658297482,,0.0,180.0
1491899584685259152,577,1491899584678559985,,0.0,180.0
1491899584704737489,578,1491899584698610665,,0.0,180.0
1491899584721208585,579,1491899584718466918,,0.0,180.0
1491899584740915358,580,1491899584738646608,,0.0,180.0
1491899584760990986,581,1491899584758379215,,0.0,180.0
1491899584780996979,582,1491899584778446666,,0.0,180.0
1491899584800616096,583,1491899584798527606,,0.0,180.0
1491899584820423287,584,1491899584818753286,,0.0,180.0
1491899584841556623,585,1491899584838314279,,0.0,180.0
1491899584860922720,586,1491899584858319959,,0.0,180.0
1491899584881434233,587,1491899584878239493,,0.0,180.0
1491899584901013403,588,1491899584898479340,,0.0,180.0
1491899584921476270,589,1491899584918254811,,0.0,180.0
1491899584941049815,590,1491899584938466898,,0.0,180.0
1491899584961434140,591,1491899584958245807,,0.0,180.0
1491899584980068518,592,1491899584978256487,,0.0,180.0
1491899585001760709,593,1491899584998317844,,0.0,180.0
1491899585021683420,594,1491899585018242118,,0.0,180.0
1491899585041341444,595,1491899585038260350,,0.0,180.0
1491899585061621655,596,1491899585058231134,,0.0,180.0
1491899585081746866,597,1491899585078461658,,0.0,180.0
1491899585101876453,598,1491899585098242702,,0.0,180.0
1491899585121508487,599,1491899585118306351,,0.0,180.0
1491899585141792917,600,1491899585138476979,,0.0,180.0
1491899585161693545,601,1491899585158786305,,0.0,180.0
1491899585180622245,602,1491899585178253182,,0.0,180.0
1491899585202803290,603,1491899585200151519,,0.0,180.0
1491899585220682043,604,1491899585218583970,,0.0,180.0
1491899585240775900,605,1491899585238664389,,0.0,180.0
1491899585259664496,606,1491899585258454600,,0.0,180.0
1491899585281129864,607,1491899585278453301,,0.0,180.0
1491899585300402367,608,1491899585298387887,,0.0,180.0
1491899585320894974,609,1491899585318405755,,0.0,180.0
1491899585340359508,610,1491899585338313154,,0.0,180.0
1491899585360710032,611,1491899585358249771,,0.0,180.0
1491899585380364201,612,1491899585378265920,,0.0,180.0
1491899585400744100,613,1491899585398288527,,0.0,180.0
1491899585420558687,614,1491899585418268270,,0.0,180.0
1491899585440802387,615,1491899585438381189,,0.0,180.0
1491899585460413171,616,1491899585458277859,,0.0,180.0
1491899585480722549,617,1491899585478272237,,0.0,180.0
1491899585500738907,618,1491899585498592552,,0.0,180.0
1491899585521339014,619,1491899585518861513,,0.0,180.0
1491899585540693860,620,1491899585538496204,,0.0,180.0
1491899585561056884,621,1491899585558482925,,0.0,180.0
1491899585580791522,622,1491899585578420949,,0.0,180.0
1491899585600804182,623,1491899585598389494,,0.0,180.0
1491899585619945330,624,1491899585618445747,,0.0,180.0
1491899585640870385,625,1491899585638316687,,0.0,180.0
1491899585660193357,626,1491899585658251221,,0.0,180.0
1491899585680880026,627,1491899585678401589,,0.0,180.0
1491899585700418311,628,1491899585698350446,,0.0,180.0
1491899585720734876,629,1491899585718255344,,0.0,180.0
1491899585740431233,630,1491899585738291233,,0.0,180.0
1491899585760718788,631,1491899585758287486,,0.0,180.0
1491899585780473739,632,1491899585778290093,,0.0,180.0
1491899585800667544,633,1491899585798274835,,0.0,180.0
1491899585820503380,634,1491899585818306140,,0.0,180.0
1491899585840788591,635,1491899585838289320,,0.0,180.0
1491899585860425365,636,1491899585858267865,,0.0,180.0
1491899585880819639,637,1491899585878348493,,0.0,180.0
1491899585901683600,638,1491899585898839589,,0.0,180.0
1491899585921324593,639,1491899585918399280,,0.0,180.0
1491899585941030689,640,1491899585938250376,,0.0,180.0
1491899585960429755,641,1491899585958395327,,0.0,180.0
1491899585981320226,642,1491899585978558716,,0.0,180.0
1491899586001864709,643,1491899585998463250,,0.0,180.0
1491899586025701431,644,1491899586023616587,,0.0,180.0
1491899586044331277,645,1491899586041082579,,0.0,180.0
1491899586060527269,646,1491899586058416748,,0.0,180.0
1491899586081344147,647,1491899586078266334,,0.0,180.0
1491899586100166338,648,1491899586098269983,,0.0,180.0
1491899586120529518,649,1491899586118252382,,0.0,180.0
1491899586140234937,650,1491899586138263166,,0.0,180.0
1491899586160227648,651,1491899586158255617,,0.0,180.0
1491899586180538953,652,1491899586178271609,,0.0,180.0
1491899586200226769,653,1491899586198287654,,0.0,180.0
1491899586220779376,654,1491899586218215417,,0.0,180.0
1491899586240703702,655,1491899586238259743,,0.0,180.0
1491899586260201153,656,1491899586258276413,,0.0,180.0
1491899586280658135,657,1491899586278310374,,0.0,180.0
1491899586301126627,658,1491899586298271783,,0.0,180.0
1491899586320689859,659,1491899586318318869,,0.0,180.0
1491899586340542987,660,1491899586338335174,,0.0,180.0
1491899586360430698,661,1491899586358332208,,0.0,180.0
1491899586382492785,662,1491899586378586326,,0.0,180.0
1491899586400191642,663,1491899586398431902,,0.0,180.0
1491899586420961488,664,1491899586418312946,,0.0,180.0
1491899586440546387,665,1491899586438342012,,0.0,180.0
1491899586460440765,666,1491899586458242223,,0.0,180.0
1491899586482564831,667,1491899586478299153,,0.0,180.0
1491899586500279990,668,1491899586498298218,,0.0,180.0
1491899586521101503,669,1491899586518268326,,0.0,180.0
1491899586540407183,670,1491899586538322235,,0.0,180.0
1491899586560406300,671,1491899586558257290,,0.0,180.0
1491899586582542710,672,1491899586578247657,,0.0,180.0
1491899586602528963,673,1491899586598287608,,0.0,180.0
1491899586620308861,674,1491899586618292871,,0.0,180.0
1491899586640476572,675,1491899586638277093,,0.0,180.0
1491899586662425899,676,1491899586658258710,,0.0,180.0
1491899586682622204,677,1491899586678277984,,0.0,180.0
1491899586700375019,678,1491899586698260070,,0.0,180.0
1491899586721162157,679,1491899586718324396,,0.0,180.0
1491899586740884191,680,1491899586738313722,,0.0,180.0
1491899586760922163,681,1491899586758446329,,0.0,180.0
1491899586780582322,682,1491899586778449926,,0.0,180.0
1491899586800557950,683,1491899586798394981,,0.0,180.0
1491899586820686495,684,1491899586818299463,,0.0,180.0
1491899586841193633,685,1491899586838585143,,0.0,180.0
1491899586861661917,686,1491899586858381813,,0.0,180.0
1491899586882121608,687,1491899586878599159,,0.0,180.0
1491899586901484892,688,1491899586898382079,,0.0,180.0
1491899586921666457,689,1491899586918361665,,0.0,180.0
1491899586943058023,690,1491899586938546928,,0.0,180.0
1491899586963064901,691,1491899586958383181,,0.0,180.0
1491899586982519956,692,1491899586978529278,,0.0,180.0
1491899587000183292,693,1491899586998458864,,0.0,180.0
1491899587021923659,694,1491899587018864857,,0.0,180.0
1491899587043224235,695,1491899587038702464,,0.0,180.0
1491899587061136946,696,1491899587058222935,,0.0,180.0
1491899587081042001,697,1491899587078376845,,0.0,180.0
1491899587101399504,698,1491899587098459035,,0.0,180.0
1491899587120924507,699,1491899587118427840,,0.0,180.0
1491899587142060968,700,1491899587138911958,,0.0,180.0
1491899587162003263,701,1491899587158322585,,0.0,180.0
1491899587182734308,702,1491899587178464099,,0.0,180.0
1491899587204006811,703,1491899587198358997,,0.0,180.0
1491899587221461292,704,1491899587218463375,,0.0,180.0
1491899587242080202,705,1491899587238262285,,0.0,180.0
1491899587262241351,706,1491899587258244631,,0.0,180.0
1491899587280885103,707,1491899587278541978,,0.0,180.0
1491899587300374377,708,1491899587298433022,,0.0,180.0
1491899587320143130,709,1491899587318276463,,0.0,180.0
1491899587340999904,710,1491899587338273601,,0.0,180.0
1491899587360306313,711,1491899587358546833,,0.0,180.0
1491899587380117149,712,1491899587378235794,,0.0,180.0
1491899587400245902,713,1491899587398415120,,0.0,180.0
1491899587420245228,714,1491899587418240696,,0.0,180.0
1491899587440089345,715,1491899587438293147,,0.0,180.0
1491899587460372213,716,1491899587458453515,,0.0,180.0
