%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900575643673140,527,1491900575455673633,,0.0,180.0
1491900575643723713,528,1491900575475596240,,0.0,180.0
1491900575643766942,529,1491900575495549889,,0.0,180.0
1491900575648886578,530,1491900575515434840,,0.0,180.0
1491900575649082620,531,1491900575538417343,,0.0,180.0
1491900575649124755,532,1491900575555488856,,0.0,180.0
1491900575649211682,533,1491900575577071515,,0.0,180.0
1491900575649256526,534,1491900575595404851,,0.0,180.0
1491900575649299339,535,1491900575615490896,,0.0,180.0
1491900575649341734,536,1491900575635415274,,0.0,180.0
1491900575657636683,537,1491900575655350277,,0.0,180.0
1491900575677154238,538,1491900575675318874,,0.0,180.0
1491900575697284814,539,1491900575695518876,,0.0,180.0
1491900575718122213,540,1491900575715356588,,0.0,180.0
1491900575738868779,541,1491900575735423778,,0.0,180.0
1491900575758256906,542,1491900575755357583,,0.0,180.0
1491900575778571701,543,1491900575775419930,,0.0,180.0
1491900575798825923,544,1491900575795332797,,0.0,180.0
1491900575820223322,545,1491900575815548634,,0.0,180.0
1491900575840143116,546,1491900575835309209,,0.0,180.0
1491900575859982130,547,1491900575855315566,,0.0,180.0
1491900575877949320,548,1491900575875296819,,0.0,180.0
1491900575897932552,549,1491900575895327708,,0.0,180.0
1491900575918444951,550,1491900575915323804,,0.0,180.0
1491900575937844381,551,1491900575935325578,,0.0,180.0
1491900575958069696,552,1491900575955324748,,0.0,180.0
1491900575977964751,553,1491900575975317459,,0.0,180.0
1491900575997277931,554,1491900575995342983,,0.0,180.0
1491900576018579288,555,1491900576015427361,,0.0,180.0
1491900576038555801,556,1491900576035316478,,0.0,180.0
1491900576058248200,557,1491900576055317002,,0.0,180.0
1491900576078564401,558,1491900576075320390,,0.0,180.0
1491900576098387893,559,1491900576095319872,,0.0,180.0
1491900576118890292,560,1491900576115384563,,0.0,180.0
1491900576138821701,561,1491900576135831753,,0.0,180.0
1491900576158488788,562,1491900576155363110,,0.0,180.0
1491900576178489051,563,1491900576175349103,,0.0,180.0
1491900576199356242,564,1491900576195579262,,0.0,180.0
1491900576217589994,565,1491900576215831400,,0.0,180.0
1491900576242512394,566,1491900576237496143,,0.0,180.0
1491900576261594428,567,1491900576255546041,,0.0,180.0
1491900576283467400,568,1491900576275441513,,0.0,180.0
1491900576301924590,569,1491900576295549953,,0.0,180.0
1491900576322326676,570,1491900576315865529,,0.0,180.0
1491900576342476835,571,1491900576336092511,,0.0,180.0
1491900576361820067,572,1491900576358063244,,0.0,180.0
