%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900575717804036,540,1491900575715359452,,0.0,0.0
1491900575738254404,541,1491900575735426643,,0.0,0.0
1491900575757964250,542,1491900575755360500,,0.0,0.0
1491900575778209878,543,1491900575775422586,,0.0,0.0
1491900575798365194,544,1491900575795335610,,0.0,0.0
1491900575819509676,545,1491900575815551759,,0.0,0.0
1491900575839716189,546,1491900575835312074,,0.0,0.0
1491900575858036244,547,1491900575855318119,,0.0,0.0
1491900575877539007,548,1491900575875299632,,0.0,0.0
1491900575897512239,549,1491900575895330468,,0.0,0.0
1491900575917976826,550,1491900575915326513,,0.0,0.0
1491900575937515683,551,1491900575935328338,,0.0,0.0
1491900575957700425,552,1491900575955327925,,0.0,0.0
1491900575977631886,553,1491900575975320271,,0.0,0.0
1491900575997238087,554,1491900575995345691,,0.0,0.0
1491900576018020069,555,1491900576015429704,,0.0,0.0
1491900576037922833,556,1491900576035319030,,0.0,0.0
1491900576057889346,557,1491900576055319606,,0.0,0.0
1491900576078067370,558,1491900576075323463,,0.0,0.0
1491900576098017164,559,1491900576095322633,,0.0,0.0
1491900576118258938,560,1491900576115387479,,0.0,0.0
1491900576138159097,561,1491900576135834514,,0.0,0.0
1491900576157803163,562,1491900576155365610,,0.0,0.0
1491900576177698895,563,1491900576175351967,,0.0,0.0
1491900576198692960,564,1491900576195581918,,0.0,0.0
1491900576217300880,565,1491900576215834577,,0.0,0.0
1491900576241336508,566,1491900576237500049,,0.0,0.0
1491900576260429896,567,1491900576255548906,,0.0,0.0
1491900576282688910,568,1491900576275444690,,0.0,0.0
1491900576301760006,569,1491900576295553026,,0.0,0.0
1491900576321817926,570,1491900576315869019,,0.0,0.0
1491900576342431627,571,1491900576336095897,,0.0,0.0
1491900576361667463,572,1491900576358067567,,0.0,0.0
1491900576378814497,573,1491900576375304236,,0.0,0.0
1491900576396768041,574,1491900576395329968,,0.0,0.0
1491900576419190596,575,1491900576415328044,,0.0,0.0
1491900576437207578,576,1491900576435469765,,0.0,0.0
1491900576457129873,577,1491900576455318623,,0.0,0.0
1491900576477027532,578,1491900576475386907,,0.0,0.0
1491900576497713316,579,1491900576495428055,,0.0,0.0
1491900576516901288,580,1491900576515411027,,0.0,0.0
1491900576538013687,581,1491900576535566915,,0.0,0.0
1491900576559541086,582,1491900576555351085,,0.0,0.0
1491900576579034213,583,1491900576576474421,,0.0,0.0
1491900576597745518,584,1491900576595573330,,0.0,0.0
1491900576617421302,585,1491900576615393854,,0.0,0.0
1491900576637207712,586,1491900576635503440,,0.0,0.0
1491900576657194433,587,1491900576655379693,,0.0,0.0
1491900576677046519,588,1491900576675305477,,0.0,0.0
1491900576699455012,589,1491900576695345272,,0.0,0.0
1491900576719395380,590,1491900576715324077,,0.0,0.0
1491900576737801164,591,1491900576735449601,,0.0,0.0
1491900576759036531,592,1491900576755313510,,0.0,0.0
1491900576777102315,593,1491900576775312367,,0.0,0.0
1491900576797394922,594,1491900576795341953,,0.0,0.0
1491900576817163102,595,1491900576815484040,,0.0,0.0
1491900576837851022,596,1491900576835891543,,0.0,0.0
1491900576858001650,597,1491900576856267796,,0.0,0.0
1491900576878346340,598,1491900576876570507,,0.0,0.0
1491900576897174312,599,1491900576895466291,,0.0,0.0
1491900576917786398,600,1491900576915407127,,0.0,0.0
1491900576938514578,601,1491900576935453640,,0.0,0.0
1491900576957250310,602,1491900576955361195,,0.0,0.0
1491900576977166615,603,1491900576975316823,,0.0,0.0
