%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1491900738668039274,540,1491900738642563073,,0.0,0.0
1491900738668254847,541,1491900738662376513,,0.0,0.0
1491900738687722454,542,1491900738682543651,,0.0,0.0
1491900738707077145,543,1491900738702457092,,0.0,0.0
1491900738725086991,544,1491900738722520793,,0.0,0.0
1491900738744830275,545,1491900738742506837,,0.0,0.0
1491900738765251476,546,1491900738762495069,,0.0,0.0
1491900738785189291,547,1491900738782420906,,0.0,0.0
1491900738805280596,548,1491900738802486013,,0.0,0.0
1491900738825322318,549,1491900738822462318,,0.0,0.0
1491900738850198311,550,1491900738845054821,,0.0,0.0
1491900738869857377,551,1491900738862414823,,0.0,0.0
1491900738884570868,552,1491900738882591545,,0.0,0.0
1491900738905020090,553,1491900738902568058,,0.0,0.0
1491900738924632905,554,1491900738922838530,,0.0,0.0
1491900738945388273,555,1491900738942966971,,0.0,0.0
1491900738965354891,556,1491900738963035932,,0.0,0.0
1491900738984231247,557,1491900738982410153,,0.0,0.0
1491900739004741719,558,1491900739002919271,,0.0,0.0
1491900739025143493,559,1491900739022851045,,0.0,0.0
1491900739045425319,560,1491900739042808912,,0.0,0.0
1491900739064900999,561,1491900739062837978,,0.0,0.0
1491900739085477460,562,1491900739082796678,,0.0,0.0
1491900739104742567,563,1491900739102645483,,0.0,0.0
1491900739124756997,564,1491900739122500122,,0.0,0.0
1491900739144674604,565,1491900739142647677,,0.0,0.0
1491900739169911587,566,1491900739162512575,,0.0,0.0
1491900739184667683,567,1491900739182486953,,0.0,0.0
1491900739204690030,568,1491900739202584977,,0.0,0.0
1491900739224604460,569,1491900739222585813,,0.0,0.0
1491900739244627119,570,1491900739242622014,,0.0,0.0
1491900739267766341,571,1491900739262565142,,0.0,0.0
1491900739287671500,572,1491900739282634312,,0.0,0.0
1491900739305961763,573,1491900739302557544,,0.0,0.0
1491900739325409370,574,1491900739323008901,,0.0,0.0
1491900739346395519,575,1491900739343033487,,0.0,0.0
1491900739365303022,576,1491900739363278021,,0.0,0.0
1491900739385570212,577,1491900739383530993,,0.0,0.0
1491900739406170684,578,1491900739403385683,,0.0,0.0
1491900739425415791,579,1491900739423415113,,0.0,0.0
1491900739445541523,580,1491900739443194543,,0.0,0.0
1491900739465359078,581,1491900739463278036,,0.0,0.0
1491900739485143560,582,1491900739483104914,,0.0,0.0
1491900739504637261,583,1491900739502603198,,0.0,0.0
1491900739524447732,584,1491900739522702420,,0.0,0.0
1491900739544549454,585,1491900739542441745,,0.0,0.0
1491900739564240186,586,1491900739562549873,,0.0,0.0
1491900739584252429,587,1491900739582448939,,0.0,0.0
1491900739605878786,588,1491900739602615400,,0.0,0.0
1491900739624911914,589,1491900739622496445,,0.0,0.0
1491900739644824104,590,1491900739642496708,,0.0,0.0
1491900739667685618,591,1491900739662470825,,0.0,0.0
1491900739684837339,592,1491900739682491141,,0.0,0.0
1491900739704245936,593,1491900739702434529,,0.0,0.0
1491900739724090678,594,1491900739722479636,,0.0,0.0
1491900739744126358,595,1491900739742420472,,0.0,0.0
1491900739764646934,596,1491900739762974173,,0.0,0.0
1491900739784729854,597,1491900739783025270,,0.0,0.0
1491900739805372982,598,1491900739803143919,,0.0,0.0
1491900739825596682,599,1491900739823144443,,0.0,0.0
1491900739845705227,600,1491900739842741425,,0.0,0.0
1491900739865650178,601,1491900739862506115,,0.0,0.0
1491900739886282473,602,1491900739882591482,,0.0,0.0
1491900739904743361,603,1491900739902442423,,0.0,0.0
1491900739924599249,604,1491900739922616384,,0.0,0.0
1491900739944357064,605,1491900739942497793,,0.0,0.0
1491900739964432692,606,1491900739962687692,,0.0,0.0
1491900739984186393,607,1491900739982458789,,0.0,0.0
1491900740004283479,608,1491900740002544521,,0.0,0.0
1491900740024111607,609,1491900740022412232,,0.0,0.0
1491900740044768850,610,1491900740042507443,,0.0,0.0
1491900740074549115,611,1491900740068945416,,0.0,0.0
1491900740089127242,612,1491900740082410730,,0.0,0.0
1491900740107684849,613,1491900740102435837,,0.0,0.0
1491900740124703549,614,1491900740122466569,,0.0,0.0
1491900740144658604,615,1491900740142615427,,0.0,0.0
1491900740165006211,616,1491900740162704857,,0.0,0.0
1491900740184555797,617,1491900740182829703,,0.0,0.0
1491900740205639082,618,1491900740202418977,,0.0,0.0
1491900740224125386,619,1491900740222412990,,0.0,0.0
1491900740247859609,620,1491900740242416066,,0.0,0.0
1491900740264489298,621,1491900740262420392,,0.0,0.0
1491900740284786958,622,1491900740282415239,,0.0,0.0
1491900740304337638,623,1491900740302402533,,0.0,0.0
1491900740324836495,624,1491900740322392276,,0.0,0.0
1491900740344385560,625,1491900740342435716,,0.0,0.0
1491900740364404053,626,1491900740362428427,,0.0,0.0
1491900740384306295,627,1491900740382362441,,0.0,0.0
1491900740404506142,628,1491900740402440673,,0.0,0.0
1491900740424120311,629,1491900740422405519,,0.0,0.0
1491900740444433439,630,1491900740442395366,,0.0,0.0
